order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,blank_template,“We Demand”: The 1994 El Congreso Hunger Strike and UCSB’s Institutional Neglect,"El Congreso’s 1994 hunger strike declaration and list of demands as a document of resistance. By zooming into each demand, the project shows how Chicano and Latino students used their bodies, organizing, and public pressure to confront UCSB’s neglect of Chicano Studies, El Centro, EOP, student affordability, local communities, and farmworker solidarity.",Jesse Preciado,,
